quant, share, tar, price
6677,20,9,0
7676,23,9,0
7396,23,9,0
7085,22,9,0
6842,22,9,0
6488,22,9,0
5944,20,9,0
5454,19,9,0
4886,18,9,0
3815,15,9,0
0,-50,-5,0
0,-50,-5,0
0,-50,-5,0
2406,12,9,0
0,-50,-5,0
0,-50,-5,0
0,-100,-5,420
