quant, share, tar, price
10151,30,8,240
9076,27,8,260
8298,26,8,260
7645,24,8,260
7032,22,8,260
6368,21,8,270
6050,21,8,280
5545,19,8,280
5016,19,8,290
4632,18,8,300
4325,18,8,300
3731,16,8,300
3173,15,8,300
2894,15,8,410
2650,14,8,410
2518,13,8,410
2187,12,8,420
