quant, share, tar, price
32077,95,10,230
29847,90,10,250
27763,86,10,250
26411,83,10,250
24981,80,10,250
23064,77,10,260
20275,69,10,270
17154,60,10,270
13235,49,10,285
10296,40,10,300
8889,36,10,300
7487,32,10,300
6147,29,10,300
5942,30,10,410
5139,26,10,410
4878,25,10,410
3989,22,10,430
