quant, share, tar, price
4973,15,8,0
6925,21,8,0
8727,27,8,0
10037,31,8,0
9771,31,8,0
10042,34,8,0
10249,35,8,0
9655,34,8,0
8525,32,8,0
7605,29,8,0
6607,27,8,0
6015,26,8,0
5370,26,8,0
5100,26,8,0
4529,23,8,0
4625,22,8,0
3498,20,8,460
