quant, share, tar, price
7637,23,1,250
7262,22,1,270
6859,21,1,270
6398,20,1,270
5804,19,1,270
4747,16,1,270
4156,14,1,270
3754,13,1,270
3302,12,1,280
3509,14,1,290
3677,15,1,290
3568,15,1,290
3104,15,1,290
3032,15,1,410
2899,15,1,410
2849,14,1,410
2531,14,1,420
