quant, share, tar, price
23682,70,14,230
23421,71,14,250
22524,69,14,250
22525,71,14,250
22194,71,14,250
19203,64,14,265
16605,57,14,280
15449,54,14,280
14155,52,14,290
13216,51,14,300
12473,51,14,300
11692,50,14,300
10014,48,14,300
8542,43,14,440
8482,43,14,440
8349,42,14,440
6949,39,14,460
