quant, share, tar, price
4156,12,3,230
6479,20,3,250
7486,23,3,250
8146,26,3,250
8570,27,3,250
7676,26,3,260
8941,31,3,270
9878,35,3,270
7637,28,3,285
7061,27,3,300
6679,27,3,300
6406,27,3,300
5635,27,3,300
5247,27,3,410
4864,25,3,410
4871,25,3,410
4144,23,3,430
