quant, share, tar, price
19178,57,5,240
17889,54,5,260
16336,50,5,260
15060,47,5,260
14025,45,5,260
12447,42,5,270
10296,35,5,280
8398,29,5,280
7267,27,5,290
6507,25,5,300
5804,24,5,300
5278,23,5,300
4375,21,5,300
3492,18,5,410
3264,17,5,410
3145,16,5,410
2695,15,5,420
